# BEAST v10.5.0
# Generated Sat May 23 16:56:28 CEST 2026 [seed=1779548169413]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
27000	-110257.03734475508	-2005.955326543529	-108251.08201821156	130.19284889570469	1893.404411378268	7786.9678159237965	5430.252462919775	0.044924238889700874	1.0034432307363343	0.24378442845459558	0.24838348635772808	0.25294095400093897	0.2548911311867373	0.4711383610134136	1.4525268688338362E-4	1.4525268688338357E-4	-108251.08201821156	0.0	-1986.9955645969922
28000	-110229.64474360718	-2003.9167807520337	-108225.72796285515	125.6208712266086	1897.976389047364	7733.311949831889	5908.75507142053	0.044924238889700874	1.0034432307363343	0.2439452976989657	0.24838348635772808	0.25294095400093897	0.25473026194236714	0.46648497106578746	1.44783389476644E-4	1.4478338947664413E-4	-108225.72796285515	0.0	-1984.4130416816502
29000	-110187.34576054681	-2014.2443828966027	-108173.10137765021	131.39704777471653	1892.200212499256	8116.456935686552	6311.391328129562	0.044924238889700874	1.0034432307363343	0.24893329975292403	0.25189628792488783	0.24827221987331985	0.2508981924488682	0.44340950203235097	1.404458475185238E-4	1.4044584751852381E-4	-108173.10137765021	0.0	-1994.3374225189548
30000	-110157.18439459956	-2026.6658196944663	-108130.5185749051	144.39941059969888	1879.1978496742736	8545.086549718751	7682.59932474823	0.044924238889700874	1.047347687965156	0.24618919336890627	0.24921293233264577	0.2506772921837296	0.25392058211471824	0.44742759977574287	1.3386964874471694E-4	1.3386964874471697E-4	-108130.5185749051	0.0	-2005.2128163929383
31000	-110128.52725347817	-2017.1730285699778	-108111.3542249082	135.44262910360155	1888.154631170371	8272.312418265363	6575.17396082157	0.044924238889700874	1.058877339868074	0.24950295953461452	0.24921293233264577	0.24768956341674078	0.2535945447159988	0.44665241865271466	1.38390669067137E-4	1.3839066906713707E-4	-108111.3542249082	0.0	-1996.9464870358122
32000	-110074.37801540809	-2010.6373030715308	-108063.74071233656	129.07764994963136	1894.519610324341	8049.613814112477	5739.745212027495	0.044924238889700874	1.0372633602366061	0.24950295953461452	0.24990613628301034	0.2484938735038474	0.25209703067852757	0.4476553015305575	1.3726029301386325E-4	1.3726029301386344E-4	-108063.74071233656	0.0	-1991.418352551355
33000	-110070.32739574258	-2022.134847402503	-108048.19254834008	137.992825201114	1885.6044350728585	8515.00674511157	6661.952212473671	0.044924238889700874	1.003707737447479	0.24861510364620612	0.24712068424135977	0.25031250947234585	0.2539517026400881	0.43156734408019154	1.285945047342321E-4	1.285945047342318E-4	-108048.19254834008	0.0	-2001.9598993537138
34000	-110030.20165460634	-2021.5891160893755	-108008.61253851696	137.28452577901152	1886.312734494961	8534.475357417636	7138.670717894463	0.044924238889700874	0.9871728828516075	0.2470874672855791	0.25164706698860956	0.25263922759577495	0.24862623813003623	0.44181103618976686	1.338042104044813E-4	1.3380421040448142E-4	-108008.61253851696	0.0	-2000.788167706287
35000	-110032.43799359948	-2035.837798681923	-107996.60019491756	146.4495130119463	1877.1477472620263	9050.9914268943	7857.820637697198	0.044924238889700874	1.0373420074725563	0.2495845787431939	0.24914995553099475	0.2485768634623036	0.2526886022635076	0.44181103618976686	1.2572401978398304E-4	1.2572401978398282E-4	-107996.60019491756	0.0	-2014.268137176308
36000	-109973.72322739127	-2033.5945714457591	-107940.1286559455	141.90140820505897	1881.6958520689136	9021.853667936213	7234.038338626304	0.044924238889700874	1.0373420074725563	0.2474919965495879	0.24891607701298638	0.25090332417391803	0.2526886022635076	0.44181103618976686	1.297683774232808E-4	1.2976837742328088E-4	-107940.1286559455	0.0	-2012.6810538799064
37000	-109970.3242961944	-2049.8035607167903	-107920.52073547762	155.08849484186618	1868.5087654321064	9647.672807550913	9874.53906467484	0.044924238889700874	1.0266571106985918	0.24486313373597404	0.2499736313702289	0.25090332417391803	0.25425991071987897	0.43889453858822	1.1680068075950495E-4	1.168006807595051E-4	-107920.52073547762	0.0	-2026.0785314759526
38000	-109920.73373597134	-2035.0027626813553	-107885.73097328999	140.63607268752955	1882.961187586443	9065.60113441268	8397.299985678337	0.044924238889700874	1.0266571106985918	0.24911669282148569	0.2431063219387558	0.24924398166779432	0.2585330035719642	0.4565381058438206	1.2500779663801836E-4	1.2500779663801847E-4	-107885.73097328999	0.0	-2012.810088282897
39000	-109835.69888060616	-2039.673465188284	-107796.02541541787	144.05454569279806	1879.5427145811746	9227.516792993805	9222.539048450304	0.044924238889700874	1.0314493791678547	0.2464429344516012	0.24639161048905378	0.24863245148738083	0.2585330035719642	0.4623876253063684	1.2333561723144716E-4	1.2333561723144762E-4	-107796.02541541787	0.0	-2016.5592185965781
40000	-109755.85175114065	-2030.7927028030547	-107725.0590483376	141.25701111371026	1882.3402491602624	8945.791505723131	8106.026961545856	0.044924238889700874	1.0468156428434123	0.24789972648320574	0.24268560743553516	0.2534163767686708	0.2559982893125883	0.48127036674293966	1.2639385396034518E-4	1.2639385396034534E-4	-107725.0590483376	0.0	-2008.8600678514317
41000	-109705.81971563013	-2035.4595633099332	-107670.3601523202	139.99126736700669	1883.6059929069659	9161.326806974706	8547.891571317272	0.044924238889700874	1.0468156428434123	0.24917543902089273	0.24268560743553516	0.25253228749406537	0.25560666604950666	0.48127036674293966	1.2055904158937797E-4	1.205590415893779E-4	-107670.3601523202	0.0	-2013.093787847274
